NCSU Status,Use
Other,"I am a Product Manager at LexisNexis (NC State Partner) for the industry leading CRM, InterAction.  70 percent of the worlds largest law firms are customers of InterAction.  Over the last 2 years we have released 6 versions of a new mobility product.  In addition to regular CRM tasks, mobility has two features that would be interesting to test on Google Glass.  One is nearby contacts where we map contacts near your location.  Also, Business Card Scanner (BCS) which is in Beta.  BCS gives a professional the opportunity to take a photo of a business card for InterAction to OCR and begin to create a new contact.  During the week of testing, I will work heavily around these features among several others.  After that, I plan to have an article written that we can post to our LinkedIn, Twitter, Websites, etc.  These sites are all heavily visited, globally.  The article will also discuss our new relationship with NC State and the Hunt Library and how we were able to do these tests and obtain Glass.  You may have seen we are the sponsors of the Raleigh Half Ironman.  Basically, it is very important for LexisNexis to begin establishing itself in this community.  Thanks in advanced for your consideration. Scott"
Masters Student,learning. App
Other,"I would like to rent Google Glass because I am interested in the new type of human-computer interaction that this device provides.  I am interested in using the technology to develop new methods of interacting within a digital space.  An example use could be the overlaying assembly instructions within a 3D space, which, would help with visualization of the final product, and assembly of the given product."
Undergraduate Student,To follow and map out my route through campus on an average day.
Undergraduate Student,"This will be for user experience, usability, research and testing for a potential new software development project. Development project is targeted toward the local music scene. New development would allow google glass to see through the walls of concert venues for purpose of previewing a show. As well as ability to process live music and provide song information and lyrics of live shows."
Staff,Research
PhD Student,I would like to use Google Glass to make instructional videos on how to use research equipment properly. In making the instructional videos I expect to smoothen the transition of new members of the lab and make the group more synergistic. The instructional POV videos made of the equipment use will make research better and consistent in the long run.
PhD Student,taking pictures and recording experiments when both hands are full during experiments
Undergraduate Student,"With a physical disability, I will be testing how useful/accessible Glass is for people with limited strength and mobility, and to see if Glass could be used as an assistive device to accommodate certain disabilities.The pickup dates seem to not be correct, so I will just say that I am able to pick it up anytime from 10am - 3pm, Mon. - Fri. 6/23 - 7/31 as long as I  can have about 24hrs notice as to the appointment. Other dates/times may be workable but please email me with any additional questions/info. Thanks."
PhD Student,Explore possibility wearable device's applications.
Masters Student,"I currently work for LexisNexis in Centennial campus. I am looking at using the glass in order to first get a feel for it and later, try to see if it could be incorporated for my current product (on the development side). I would appreciate a prompt response."
Other,"Exploring technology and blogging about it. I am interested particularly in how it might be used in situations requiring hands-free use such as when driving or riding a bicycle.I am an employee of LexisNexis, a Centennial Affiliate and have a WolfPack One card and an NCSU Libraries account."
Masters Student,Try out new technology
Undergraduate Student,"I have ADHD, and I will be using google glass to see if it is an effective resource aid me in studying."
Staff,"I will take videos of my research (Department of Materials Science and Engineering) to present it in a ENG101 course that I will co-teach (SWAP-program, PFL).I could also pick it up before.
I am in Europe from August 21st until 1st September, so any other date would be okay, too."
Masters Student,I am planning to learn Google Glass Android API. I have already developed an interactive latitude explorer and wish to test it outside the simulator.
Staff,I want to experience the features of google glass.
Masters Student,learning and building apps for google glass.
Masters Student,I would like to learn about the technology and experience google glass.
Faculty,"The 26 Senior-level students enrolled in my GD400 Advanced Graphic Design Studio course will be working on a 5-week assignment to design proof-of-concept applications for Glass, including the 'future interface for Glass x.0.' Following are a few examples of a hypothetical project brief for this assignment.
Based on the affordances of the Glass platform:
""Design an application for Glass that helps me converse with someone whose language I cannot speak""
""Design an application for Glass that allows the hearing impaired to participate in an experience that is aural/audio-dominate""
""Design an application for Glass that would help middle school students have a more engaging experience at the NC Science Museum""
and so on...
This assignment has a focus on User Experience Design, and in order for students to understand how Glass works and to design realistic proof-of-concept prototypes, I would like to bring the equipment to class for them to try out for themselves. Our class meets MW from 1:30 to 5:45PM.
Thank you for your consideration.The check-out time period of Aug 27 to Sep 3 would give students two full class sessions to try out Glass, however, if it would help our chances, I can also bring the equipment back earlier than Sep 3."
Masters Student,I want to explore the scope of this fabulous product for upcoming project work.
PhD Student,I will use it as a Research tool to perform my ideas at technology and pedagogy course (CRD 704).
Undergraduate Student,My design studio is working with SAS this semester on a UX design project and I would be interested to learn about the user interface of Google Glass to help me with the project.
Masters Student,Research and Learning. I want to learn how daily life activity can be improved with glass. I have explored Glass APIs and I want to develop and test on the real Glass instead of Simulator
Masters Student,I've to take up classes in neural engineering that involves wearable devices and intelligent systems. Google glass is actually an ideal implementation of these concepts. I want to understand these concepts practically and get involved in a similar research.
Masters Student,I will use glass for research. I am making a project where in I could include the similar features and make a better design. This would be helpful for my prototype.
Masters Student,"I would like to compare the google glass with a product that I have previously designed. I designed a wearable computer 3 months ago  (graduate project), and I would like to compare my choices with google's choices.My wearable project is the main point of my curriculum vitae and this analyze could be an important advantage to show my interested in new technologies."
Masters Student,"For my course CSC792-Internet of Things(IoT), I am doing a semester long project on Smart City with focus on smart parking. I want to use and explore how wearable devices can influence the concept of IoT and its interaction with the environment."
Masters Student,Learning the google glass api for testing my android application and for deciding how good it will be in my research project.
Masters Student,"I am an avid electronics hobbyist, and am looking to test out the functionality of the Glass"
Masters Student,Filming a travel video ( Exploring the world through the eyes of a Google Glass )
Masters Student,I'm in Computer Science. I would use the Google Glass for getting experience with software development for Google Glass.
Undergraduate Student,I just want to wear it around and play with it
Undergraduate Student,I want ot test out the functionality and see what applications it can be used for in business and life.
Undergraduate Student,I'm a marketing major and I'd like to do a product anaysis of this item.
Undergraduate Student,"I plan on using Glass to record class instruction from eye level and to record procedures performed in a laboratory setting to better formulate lab reports.  Additionally, I would like to explore the power that Glass has with connecting with the real world."
Undergraduate Student,"I have to do a Marketing Research project, aa well as a Service Marketing one, and I wanted to use google glasses during the presentations to improve them and to have better access to all the data collected, since I am an exchange-student and ot is more difficult for me to speak in English as fluently as the rest of the memebers of the group."
Masters Student,"For travel purposes.
Planning to travel the state where google glass will be helpful for the travel with directions, photos etc."
Masters Student,I want to use the google glass for my project where in I intend to use it for some simulations
Undergraduate Student,I will be utilizing both google glass' recording capabilities and its wear-ability in an immersive social experiment testing the current acceptability of wearable technology in order to forecast stock adjustments of companies involved in the wearable technology market.
Masters Student,"Learning the functions of the glass. Exploring with the glass.I will like to borrow it for at least a day, any time in December. Preferably on or after December 10th. Thank you"
Staff,Experimentation for metadata collection for a weather station visit
Undergraduate Student,To explore and study the enhancements of augmented reality in everyday life. To observe any impairments to motor function and focus. To be creative and brainstorm practical applications for such a device.
PhD Student,Learning purpose.
Undergraduate Student,I want to use it to create a program that will analyze organic molecules built using a modeling kit and automatically pull data regarding that molecule. This can be useful for students and professors in Organic Chemistry and researchers.
Masters Student,Learning
Undergraduate Student,I want to explore the functionality of Google glass in order to get a feel for the possible future applications of this technology.
Masters Student,for my coursework - product innovation lab. to study feasability of using this instead of a mouse
PhD Student,I am writing a dissertation on the Internet of Things and I discuss wearable computing throughout the texts. I'd like to produce some documentation for my research using Google Glass.
Masters Student,I am extremely fascinated by Google Glass and this is the only place where I can use it. I am planning to graduate this semester and would love to see the Google Glass working before I leave. It would be great if I could the glass for a day or two.
Masters Student,"As A masters in computer engineering, I want to have the feel the feel of the practical working of the glass.This will immensely help me in understanding the various processes running inside the glass to make it function."
Masters Student,I would be graduating in December and this would be my last opportunity to see and use google glass as I have never got an opportunity to see or use it before. It would be great if I could get it.It would be great if I could get it at least for few hours in a day.
Undergraduate Student,I want to use google glass to get a feel of their purpose.  I want a hands on experience to decide if i want to purchase a set of smart glasses. I have had an inquiry about them for a while now and I have finally been blessed with the opportunity to use them.
Masters Student,"I have 3 reasons in my mind. I will try to be as specific as possible. 1) My sister and my uncle are doing research on Effect of Google glass on person with lense prescription for eyes. But as Google glass are very costly, they can't afford it. They both are planning to come  Raleigh, on my graduation 17th dec & 18th dec, 2014. So I believe they will get chance to do some experiments on me ( As I have glass prescription). 2) I want to capture my convocation ceremony with Google glasss. I believe it will be unique use of Google glass. 3) This is the last time I will borrow something from Hunt...:("
Undergraduate Student,"Learning, specifically on whether or not Google Glass is useful and how effective it is in everyday life"
Masters Student,To experience the new technology and how it can be used for capturing data
Masters Student,Try interfacing with other peripherals like android wear and see the message flow between the three
Masters Student,"I am planning to give a presentation on the topic that I am conducting research on right now, and I would like to see if using Google glass would be an effective tool while sharing ideas in front of an academic audience."
Masters Student,Showcase the power of technology to Big Brother Big Sister little brother.
Masters Student,"I am doing a personal research about wearable gadgets such as google glasses, connected watches. I have always been interested in those glasses and that would be my only chance to try them.
I'd only need the google glass during 2 hours maximum that day."
Faculty,"I want to investigate it's feasibility for collecting data in an experimental undergraduate course, BIO 486, ""What is anthrozoology?""."
Masters Student,Experience and understand the working of Google glass.
Masters Student,Testing out new data collection methods for Master's thesis.
Masters Student,I came to Ask Us. John suggested this process for requesting access to the google glass. I put a request in earlier for the same but have not heard back regarding the availability for the same. I would be needing the glass for a project where I am working on Image correlation in real time using the Lukas-Kanade method for image correlation. I will be using the glass for real time image capture and a corresponding mobile app for image processing and depth perception.
Masters Student,Learning
Undergraduate Student,I want to create an app for the device.
Undergraduate Student,Demonstrate at my sister middle class school the advances of todays technology
Undergraduate Student,"I am an ambassador for the sustainability office. We would like to use Google Glass to help create 3 PSAs about environmental issues for a competition that could could provide funding to make NC State a cleaner, healthier, and more sustainable university. By using this technology, we have a better chance at being able better the entire campus community.This would be a really great opportunity to apply this new technology. If you have any questions, please don't hesitate to contact me by phone or email. Thank you."
Undergraduate Student,I will be using the glass to see just how beneficial it is to day to day life.none
Undergraduate Student,"I will use to it become familiar with the interface, test various beta apps  and better my understanding of virtual reality interfaces ."
Masters Student,"I am interested in developing apps for Google Glass. I would like to have an hands on experience with it first, so that I can get to know about the features and functionality of it."
Undergraduate Student,I plan on recording some projects with it
Masters Student,"Learning/Research - Writing an article about how augmented reality can help in navigational tasks and compare it with the holo lens. This is not for a product review, but as a research topic for better understanding the concept of wearable techNeed it before April as report needs to be done before second midterms"
PhD Student,"I plan to use these as part of an Introduction to Public Speaking course that I am teaching. Students will use these instead of notecards to present the speech and advance slides that have been prepared using the YourShow software that's been developed. I ran a small pilot of this last semester and hoping to expand it to more students this semester as a way of exploring the effects of such wearable technology on both speaker performance and audience perceptions.Is it possible to have these for the week of February 25th? I checked at the very beginning of the semester, and that week wasn't available yet, so I was checking back now in hopes of booking it. I have just a little bit of flexibility built into when I can schedule speaking days."
Undergraduate Student,spec & UI observations for competitive product development
PhD Student,"Learning and research.I am interested in augmented reality or virtual reality. My research here does not directly relate to this, but I am curious to see if I can do something with it."
Masters Student,1) Independent Project. Need it for comparison.
Undergraduate Student,Research.
Undergraduate Student,For fun :)
Undergraduate Student,"I am going to use glass for honestly, a broad scope  of applications. It's a piece of inspiration for those who are overly self-aware almost to the point of dissociation. Im a comedy writer, and Glass provides a new medium for expressive satire.  Also, Glass is pretty cool."
Undergraduate Student,"Since now, the Glass project has halted for commercial use and is more for the workforce.  I would like to be ahead of the game since I am graduating May 2015.  Things I will do are record class lectures, record video presentations, and experiment with daily interactions with the Glass.
Thanks,
Trong Vu"
Undergraduate Student,I need to write a scholarship essay about innovative technologies and gadgets. Google Glass would be a perfect example.
PhD Student,I thought it would be fun to try out and hopefully give me better perspectives to observe the places and weather in Raleigh while it lasts. No research intended so far.
Undergraduate Student,recording personal DIY project for online sharing.
Masters Student,One of my research paper I am working on this semester requires to examine the degree of interaction we can have with machines. need Google glass to understand the usability of the device and features it provides
Undergraduate Student,Me and my team are trying to develop a sleeping pod project integrating a type of glass or helmet device that may monitor sleeping/napping cycles and eye movements of the user while blocking the light. This project is for our business school project as well as our purpose in our professional career. Google Glass has many special design for users that will be of great studies for this head device with the sleeping pod project. All sources will be cited and it will be fantastic to understand how can Google Glass be of a trend.
Other,"Teaching, learning and research"
PhD Student,use the data from the google glass to do research on how to monitor and sensor the human health
Masters Student,Develop a prototype History App for my masters thesis in conjunction with a local STEM school... I am happy to provide more details.
Staff,"We would use Glass when designing new University technology services  to capture data real time, annotate and share on the fly."
Masters Student,"It might be the only opportunity for me to try the google glass. Unefortunately, i will not use it for teaching so my request will not be prioritized but i hope you could give the opportunity to try the google glass to a serious student of NCSU!"
PhD Student,I want to take photos of my lab work and record photos of my on going lab work for reference and record to present to my research committee.
Undergraduate Student,I want to literally just try it out for 10 minutes just to see what it is like.
Undergraduate Student,I plan to link Glass to a video feed from a camera on a mobile robot.
Masters Student,I am trying a build an android app which enables users to share messages and photos in a new interactive way. Need to test the functionality on google glass.
Undergraduate Student,"I am trying to follow online GDK samples and build an app for Glass using the GDK, which is an add on to the Android SDK. I need the Glass to be able to run and debug code."
PhD Student,"Record some ""first-hand"" PhD experiences to share with my family and friends who foreign to this level of education."
Undergraduate Student,"Learning -- To explore some of the recent advancements in computer science applications for Google Glass, and also functionality of face recognition software implemented in Google Glass."
Masters Student,Exploring the Google Glass and Apps.
Undergraduate Student,I would like to test the usefulness of the glass for every-day life and see how it can benefit me in my work and schooling throughout the summer
Masters Student,I am looking to use this for a project for one of my classes. I am looking to design a video as my project but I look to implement this technology to the understanding of social interaction.
Undergraduate Student,"Examining accuracy of translation software of both Arabic and colloquial English, specifically accuracy of translation and accuracy of command response in application use."
Undergraduate Student,"I would like to utilize this equipment to help expand my research capabilities in my classes. For example, I have to watch ted talks for a class and it would be beneficial for me to one, be able to watch a ted talk while I write. Secondly, I think this will be beneficial for me to utilize while I work on my French studies. The ability to look up verbs, certain words and even grammatical concepts would be great.Although it may not matter I am someone that is interested in acquiring this product in the future and I see this as a great way for me to see if I would truly be able to utilize the product effectively or enough to justify purchasing it."
PhD Student,"I am writing a paper regarding human communications and digital media as the main work for my directed research course (CRD 893). I am particularly interested on how people perceived when their conversation partners constantly using digital media. The method that I used is ethnography, therefore I kindly request to borrow the google glass to enhance my data collection."
Undergraduate Student,"I will use the glass as a part of my PGA golf teaching education, to record and view lessons as well and shots and swings from unique views as well as from the student perspective. It would allow me to film lessons, a required part of my course of study from enhances perspective and help my students provide feedback. I am required to sample a group lesson, which would make the Glass increasingly valuable."
PhD Student,"In classrooms technology is often used to improve teaching and student learning.  Specifically, language challenges are often faced in diverse classrooms.  Research has shown that many students understand concepts but don't know how to use the proper vocabulary to describe these concepts, particularly in science and math.  Google Glass has the potential to overcome some of these challenges in new, innovative ways repurposing existing apps for the classroom.  As a proof-of-principle experiment, four different apps available for Google Glass will be used:
1) Captioning on Glass, an application used to translate audio into transcription;
2) Word Lens, an application that can translate written words into other languages automatically;
3) Free Dictionary, an application that can define a wide variety of words in several languages and has a specific medical and science dictionary and
4) Signglasses, an application that can overlay sign language into live or video presentations and has a feature which allows for words to be defined just by looking at them with your Google Glasses.
Together, these apps have the potential to increase student literacy in the classroom.  This test would assess the feasibility of a research study around these items.I am in Science Education and this study is related to my possible dissertation topic or to my minor exam study."
PhD Student,To be familiar with it.
Staff,"Learning & research work. I am currently working on E-navigation & integrating it with Google resources & open platforms.Thanks,"
Masters Student,1. Test and develop android applications on Google Glass. 2. Explore possible use of Google Glass.
Faculty,Create experiences for study abroad.I design international experiences for study abroad and I am envisioning new ways to prepare my students for these trips using virtual reality or other strategies.
